year	location	species_total	man_hour	sampling_success	elevation	river	pond	primary_forest	mountain_grassland	secondary_forest	disturbed_habitat	village
2004	Manengouba	5	0.25	0.833333333	1950	NO	YES	NO	YES	NO	NO	NO
2004	Manengouba	1	0.03125	1.333333333	2150	NO	NO	YES	NO	NO	NO	NO
2004	Manengouba	3	0.3125	0.4	2050	YES	NO	NO	NO	YES	NO	NO
2004	Manengouba	1	0.03125	1.333333333	2100	YES	NO	NO	NO	YES	NO	NO
2004	Manengouba	4	0.1875	0.888888889	1950	NO	YES	NO	NO	YES	NO	NO
2006	Manengouba	1	0.01042	4	1300	NO	NO	NO	NO	NO	YES	NO
2006	Manengouba	3	0.25	0.5	1430	YES	NO	NO	NO	YES	NO	NO
2006	Manengouba	2	0.3125	0.266666667	1800	YES	NO	NO	NO	YES	NO	NO
2006	Manengouba	1	0.03125	1.333333333	1300	NO	NO	NO	NO	YES	NO	NO
2006	Manengouba	6	0.25	1	1350	YES	NO	NO	NO	YES	NO	NO
2006	Manengouba	6	0.25	1	1385	YES	NO	NO	NO	YES	NO	NO
2006	Manengouba	5	0.375	0.555555556	1375	YES	NO	NO	NO	YES	NO	NO
2006	Manengouba	2	0.08333	1	1385	YES	NO	NO	NO	YES	NO	NO
2006	Manengouba	3	0.25	0.5	1890	NO	NO	NO	NO	NO	NO	NO
2006	Manengouba	3	0.375	0.333333333	1840	NO	YES	NO	NO	YES	NO	NO
2006	Manengouba	3	0.25	0.5	2110	NO	YES	NO	NO	YES	NO	NO
2006	Manengouba	3	0.03125	4	2100	YES	NO	NO	NO	YES	NO	NO
2006	Manengouba	2	0.03125	2.666666667	1970	NO	YES	NO	NO	YES	NO	NO
2008	Manengouba	7	10	1.5	1903	NO	YES	YES	YES	YES	NO	NO
2008	Manengouba	6	10	0.5	2175	YES	YES	YES	NO	NO	NO	NO
2008	Manengouba	4	6	0.7	1900	YES	NO	NO	NO	NO	NO	NO
2008	Manengouba	5	6	0.55	2116	YES	NO	NO	NO	NO	NO	NO
2008	Manengouba	2	2	0.6	2116	YES	NO	NO	NO	NO	NO	NO
2008	Manengouba	8	10	0.666666667	2068	YES	NO	NO	NO	YES	NO	NO
2008	Manengouba	8	6	0.833333333	2068	YES	NO	NO	NO	YES	NO	NO
